flowInd	%dir	timeFirst	l4Proto	tcpFlags	srcIP	dstIP	srcPort	dstPort
159	A	1722697948.093135000	17	0x0000	192.168.1.1	239.255.255.250	53281	1900
160	A	1722697948.843059000	17	0x0000	192.168.1.1	239.255.255.250	57378	1900
161	A	1722697949.348317000	17	0x0000	192.168.1.197	239.255.255.250	48233	15600
162	A	1722697952.383426000	17	0x0000	192.168.1.197	192.168.1.255	47475	15600
163	A	1722697955.349322000	17	0x0000	192.168.1.197	239.255.255.250	32892	15600
164	A	1722697956.950022000	17	0x0000	192.168.1.200	8.8.8.8	54538	53
164	B	1722697956.980349000	17	0x0000	8.8.8.8	192.168.1.200	53	54538
165	A	1722697958.425177000	17	0x0000	192.168.1.197	192.168.1.255	56040	15600
166	A	1722697959.090238000	17	0x0000	192.168.1.1	239.255.255.250	52667	1900
167	A	1722697959.849932000	17	0x0000	192.168.1.1	239.255.255.250	44451	1900
168	A	1722697960.664469000	17	0x0000	192.168.1.200	8.8.8.8	54302	53
168	B	1722697960.675258000	17	0x0000	8.8.8.8	192.168.1.200	53	54302
169	A	1722697960.664613000	17	0x0000	192.168.1.200	8.8.8.8	61628	53
169	B	1722697960.673831000	17	0x0000	8.8.8.8	192.168.1.200	53	61628
171	A	1722697961.350648000	17	0x0000	192.168.1.197	239.255.255.250	46906	15600
172	A	1722697964.364469000	17	0x0000	192.168.1.197	192.168.1.255	39336	15600
173	A	1722697967.355025000	17	0x0000	192.168.1.197	239.255.255.250	35072	15600
174	A	1722697968.056349000	17	0x0000	192.168.1.200	8.8.8.8	50367	53
174	B	1722697968.074335000	17	0x0000	8.8.8.8	192.168.1.200	53	50367
175	A	1722697969.093371000	17	0x0000	192.168.1.1	239.255.255.250	53424	1900
176	A	1722697969.840493000	17	0x0000	192.168.1.1	239.255.255.250	44749	1900
177	A	1722697970.406185000	17	0x0000	192.168.1.197	192.168.1.255	35266	15600
178	A	1722697973.356072000	17	0x0000	192.168.1.197	239.255.255.250	43750	15600
179	A	1722697976.447861000	17	0x0000	192.168.1.197	192.168.1.255	40375	15600
180	A	1722697979.357018000	17	0x0000	192.168.1.197	239.255.255.250	39164	15600
182	A	1722697980.415938000	17	0x0000	192.168.1.200	8.8.8.8	65118	53
182	B	1722697980.425564000	17	0x0000	8.8.8.8	192.168.1.200	53	65118
181	A	1722697980.090459000	17	0x0000	192.168.1.1	239.255.255.250	57199	1900
183	A	1722697980.850874000	17	0x0000	192.168.1.1	239.255.255.250	37580	1900
184	A	1722697982.387103000	17	0x0000	192.168.1.197	192.168.1.255	33892	15600
185	A	1722697985.359754000	17	0x0000	192.168.1.197	239.255.255.250	58330	15600
186	A	1722697988.428469000	17	0x0000	192.168.1.197	192.168.1.255	48515	15600
187	A	1722697990.092038000	17	0x0000	192.168.1.1	239.255.255.250	55716	1900
188	A	1722697990.840594000	17	0x0000	192.168.1.1	239.255.255.250	49778	1900
189	A	1722697991.359093000	17	0x0000	192.168.1.197	239.255.255.250	41581	15600
80	A	1722697870.399972000	58	0x0000	fe80::bcdb:9bc3:9f17:65b1	ff02::fb	0	0
191	A	1722697992.516071000	17	0x0000	192.168.1.129	224.0.0.251	5353	5353
192	A	1722697992.516071000	17	0x0000	fe80::143a:24c:f472:5d68	ff02::fb	5353	5353
193	A	1722697994.470574000	17	0x0000	192.168.1.197	192.168.1.255	56622	15600
194	A	1722697994.488857000	17	0x0000	192.168.1.137	239.255.255.250	38583	1900
196	A	1722697997.362042000	17	0x0000	192.168.1.197	239.255.255.250	47130	15600
195	A	1722697994.694580000	17	0x0000	192.168.1.195	239.255.255.250	56159	1900
198	A	1722698000.409910000	17	0x0000	192.168.1.197	192.168.1.255	41179	15600
200	A	1722698000.951007000	17	0x0000	192.168.1.197	192.168.1.200	48211	65119
201	A	1722698001.059808000	17	0x0000	192.168.1.200	8.8.8.8	61310	53
201	B	1722698001.093575000	17	0x0000	8.8.8.8	192.168.1.200	53	61310
202	A	1722698001.093575000	17	0x0000	192.168.1.1	239.255.255.250	40619	1900
204	A	1722698001.951940000	17	0x0000	192.168.1.197	192.168.1.200	42601	65119
203	A	1722698001.840735000	17	0x0000	192.168.1.1	239.255.255.250	59220	1900
206	A	1722698002.952032000	17	0x0000	192.168.1.197	192.168.1.200	50121	65119
207	A	1722698003.361385000	17	0x0000	192.168.1.197	239.255.255.250	49362	15600
199	A	1722698000.947213000	17	0x0000	192.168.1.200	239.255.255.250	65119	1900
208	A	1722698003.953207000	17	0x0000	192.168.1.197	192.168.1.200	40152	65119
209	A	1722698006.451540000	17	0x0000	192.168.1.197	192.168.1.255	43293	15600
20	A	1722697798.679237000	0	0x0000	-	-	0	0
210	A	1722698009.362573000	17	0x0000	192.168.1.197	239.255.255.250	52834	15600
211	A	1722698011.090959000	17	0x0000	192.168.1.1	239.255.255.250	57403	1900
213	A	1722698011.915412000	17	0x0000	192.168.1.200	8.8.8.8	63306	53
213	B	1722698011.933470000	17	0x0000	8.8.8.8	192.168.1.200	53	63306
212	A	1722698011.849172000	17	0x0000	192.168.1.1	239.255.255.250	60108	1900
214	A	1722698012.390884000	17	0x0000	192.168.1.197	192.168.1.255	55851	15600
215	A	1722698015.365707000	17	0x0000	192.168.1.197	239.255.255.250	57132	15600
216	A	1722698018.432537000	17	0x0000	192.168.1.197	192.168.1.255	50656	15600
217	A	1722698020.484636000	1	0x0000	192.168.1.195	192.168.1.200	0	0
217	B	1722698020.484699000	1	0x0000	192.168.1.200	192.168.1.195	0	0
218	A	1722698021.365170000	17	0x0000	192.168.1.197	239.255.255.250	34903	15600
111	A	1722697896.574178000	2	0x0000	0.0.0.0	224.0.0.1	0	0
220	A	1722698022.400469000	2	0x0000	192.168.1.214	239.255.255.250	0	0
219	A	1722698022.108487000	17	0x0000	192.168.1.1	239.255.255.250	55508	1900
113	A	1722697896.779030000	2	0x0000	192.168.1.195	224.0.0.251	0	0
221	A	1722698022.841735000	17	0x0000	192.168.1.1	239.255.255.250	44693	1900
222	A	1722698023.103404000	17	0x0000	192.168.1.200	8.8.8.8	59165	53
222	B	1722698023.118475000	17	0x0000	8.8.8.8	192.168.1.200	53	59165
223	A	1722698024.371873000	17	0x0000	192.168.1.197	192.168.1.255	40381	15600
